ID_again,City,lat,lon,DC_Title
1,"Madison, WI, USA",43.081309,-89.395609,There lies a fair land
2,"Dyckesville, WI, USA",44.637035,-87.767163,About a boy who came back from the war
3,"Dyckesville, WI, USA",44.637035,-87.767163,About a young married couple
4,"Stevens Point, WI, USA",44.51956,-89.573683,Death of Matthew
5,"Oneida, WI, USA",44.475504,-88.243735,Christmas song
6,"Stevens Point, WI, USA",44.51956,-89.573683,Rendezvous of Jane with Johnny
7,"Prairie du Chien, WI, USA",43.042549,-91.141425,French love song
8,"Dyckesville, WI, USA",44.637035,-87.767163,About a young man at the Front
9,"Stevens Point, WI, USA",44.51956,-89.573683,Love pat across the water (river)
10,"Linden, WI, USA",42.918516,-90.274171,Way up in heaven
11,"Stevens Point, WI, USA",44.51956,-89.573683,Hat with peacock feathers
12,"Oneida, WI, USA",44.475504,-88.243735,Calling Jesus in glory
13,"Dyckesville, WI, USA",44.637035,-87.767163,About a young man who was looking for a job
14,"Dyckesville, WI, USA",44.637035,-87.767163,About a young man who went away
15,"Dyckesville, WI, USA",44.637035,-87.767163,About a young man who went to war
16,"Dyckesville, WI, USA",44.637035,-87.767163,About a young girl who lost her boy friend
17,"Madison, WI, USA",43.081309,-89.395609,"'Ark, 'ark the 'eavenly angels sing"
18,"Wisconsin Dells, WI, USA",43.628055,-89.771693,2nd medicine song
19,"Rhinelander, WI, USA",45.644155,-89.400934,4-step schottishe and a 2-step schottishe
20,"Plainfield, WI, USA",44.213709,-89.494963,A lumbering we will go
21,"Milwaukee, WI, USA",43.063146,-87.948334,A witajze
22,"Milltown, WI, USA",45.526651,-92.499354,Aa kjoyra vatten aa knoyra ve
23,"Somerset, WI, USA",45.130029,-92.676858,"Adieu me mere, je pars pour l'Italie"
24,"Madison, WI, USA",43.081309,-89.395609,Aftensang
25,"Rhinelander, WI, USA",45.644155,-89.400934,After the ball
26,"Waukesha, WI, USA",43.02433,-88.244537,"Ah, si mon maine voulait danser"
27,"Pickett, WI, USA",43.911389,-88.729722,Ai am fy meiau i
28,"Somerset, WI, USA",45.130029,-92.676858,Aime moi bien
29,"Plainfield, WI, USA",44.213709,-89.494963,Alec Brown
30,"Mukwonago, WI, USA",42.862336,-88.323693,All together
31,"Plainfield, WI, USA",44.213709,-89.494963,Alphabet song
32,"Madison, WI, USA",43.081309,-89.395609,Alte Uhr
33,"Black River Falls, WI, USA",44.300723,-90.843263,Andulko
34,"Wausau, WI, USA",44.963482,-89.639884,An einem Fluss daraus an Schuss
35,"Dodgeville, WI, USA",42.964713,-90.130774,Ar Ã´l gofidiau
36,"Plainfield, WI, USA",44.213709,-89.494963,As I went out walking one morning in spring
37,"Darlington, WI, USA",42.682928,-90.115182,As long as the stomach fits into the vest
38,"Sheboygan, WI, USA",43.756279,-87.723689,As uz jury
39,"Millville, WI, USA",43.01865,-90.93917,As Willie and Mary strolled by the seaside
40,"Blair, WI, USA",44.296263,-91.225443,"Astri, mi Astri"
41,"Green Bay, WI, USA",44.517447,-87.954553,Auguste tu n'est pas juste
42,"Oostburg, WI, USA",43.623074,-87.789119,Avondsgedachten
43,"Harvard, IL, USA",42.420737,-88.613519,"Awake, arise, you drowsy sleeper"
44,"Schofield, WI, USA",44.918498,-89.609749,Baggage coach ahead
45,"Harvard, IL, USA",42.420737,-88.613519,Banks of the Old Mohawk
46,"Rhinelander, WI, USA",45.644155,-89.400934,Barbara polka
47,"Mukwonago, WI, USA",42.862336,-88.323693,Barker's call (recitation)
48,"Yuba, WI, USA",43.535455,-90.426785,Baruska
49,"Black River Falls, WI, USA",44.300723,-90.843263,Be with us forever
50,"Pearson, WI, USA",45.364167,-89.016389,Beneath the linden tree (I saw my gentle mother)
51,"Plainfield, WI, USA",44.213709,-89.494963,Big brick house in a Georgia town
52,"White Lake, WI, USA",45.160727,-88.772136,Billy Vanero
53,"Lancaster, WI, USA",42.846347,-90.707772,Birdies' ball
54,"Wausau, WI, USA",44.963482,-89.639884,Black sheep
55,"Crandon, WI, USA",45.568712,-88.897293,Blushing rose
56,"Plainfield, WI, USA",44.213709,-89.494963,Bob goes a gunning
57,"Yuba, WI, USA",43.535455,-90.426785,Bohemul
58,"Kenosha, WI, USA",42.584327,-87.841871,Bokje
59,"Black River Falls, WI, USA",44.300723,-90.843263,Bold McIntyres
60,"Somerset, WI, USA",45.130029,-92.676858,"Bon soir, mes amis"
61,"Plainfield, WI, USA",44.213709,-89.494963,Boring for oil
62,"Milwaukee, WI, USA",43.063146,-87.948334,Bos ty jedyny
63,"Madison, WI, USA",43.081309,-89.395609,Brave boys
64,"Berlin, WI, USA",43.968582,-88.952344,Brennan on the moor
65,"Harvard, IL, USA",42.420737,-88.613519,Broken ring
66,"Harvard, IL, USA",42.420737,-88.613519,Two orphans
67,"Black River Falls, WI, USA",44.300723,-90.843263,Buck billy goat
68,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Buffalo dance song #1
69,"Wisconsin Dells, WI, USA",43.628055,-89.771693,2nd Buffalo dance song #2
70,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Buffalo feast song
71,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Buffalo song
72,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Buffalo song with drum
73,"Pickett, WI, USA",43.911389,-88.729722,"Bugail ""Hafod y Cwm"""
74,"Rhinelander, WI, USA",45.644155,-89.400934,Burno polka
75,"Somerset, WI, USA",45.130029,-92.676858,C'est aujourdhui
76,"Somerset, WI, USA",45.130029,-92.676858,C'est dans le petit QuatrÃ¨ume Rang
77,"Black River Falls, WI, USA",44.300723,-90.843263,Calumet song
79,"Waukesha, WI, USA",43.02433,-88.244537,Canadian errant
80,"Lancaster, WI, USA",42.846347,-90.707772,Captain Jenks
81,"Mukwonago, WI, USA",42.862336,-88.323693,Catch the sunshine
82,"Dodgeville, WI, USA",42.964713,-90.130774,Cawn esgyn o'r
83,"Rhinelander, WI, USA",45.644155,-89.400934,Celebrated opera reel
84,"Somerset, WI, USA",45.130029,-92.676858,Pour bien aimer
85,"Green Bay, WI, USA",44.517447,-87.954553,Chapeau pointu
87,"Mukwonago, WI, USA",42.862336,-88.323693,Charming young widow
88,"Plainfield, WI, USA",44.213709,-89.494963,Charming young widow I met on the train
89,"Linden, WI, USA",42.918516,-90.274171,Chase the buffalo
90,"Somerset, WI, USA",45.130029,-92.676858,Chateau brillant
91,"Millville, WI, USA",43.01865,-90.93917,Chicago gambler
92,"Chippewa Falls, WI, USA",44.933577,-91.388875,Chippewa Falls stories
93,"Verona, WI, USA",42.988199,-89.536182,Christiana waltz
94,"Rhinelander, WI, USA",45.644155,-89.400934,Clarinet polka
95,"Madison, WI, USA",43.081309,-89.395609,Come and I will sing you
96,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Contest dance song
97,"Crandon, WI, USA",45.568712,-88.897293,Conversation
98,"Crandon, WI, USA",45.568712,-88.897293,Conversation (Kentuckian)
100,"Madison, WI, USA",43.081309,-89.395609,Conversation about Mr. Merrick
102,"Stevens Point, WI, USA",44.51956,-89.573683,"Polish music (Mountain - Highlander), conversation and demonstration"
103,"Hayward, WI, USA",46.008889,-91.482601,Conversation between Mr. Charles Ring and Miss Helene Stratman-Thomas
104,"Millville, WI, USA",43.01865,-90.93917,Conversation on the method of singing sea shanties
106,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Corn grinding song
107,"Madison, WI, USA",43.081309,-89.395609,Cornish carol
108,"Madison, WI, USA",43.081309,-89.395609,Cornish story
109,"Beloit, WI, USA",42.510674,-89.033751,Cosa chera nel fior
110,"Rice Lake, WI, USA",45.503769,-91.740829,Couderay jig
111,"Black River Falls, WI, USA",44.300723,-90.843263,Cranberry song
112,"Millville, WI, USA",43.01865,-90.93917,Crazy song
113,"Crandon, WI, USA",45.568712,-88.897293,Crucifixion of Christ
114,"Pickett, WI, USA",43.911389,-88.729722,Cuckoo song
115,"Pickett, WI, USA",43.911389,-88.729722,"Cymer, Iesu, fi fel'r ydwyf"
117,"Belgium, WI, USA",43.500499,-87.845446,D'Graf
118,"Madison, WI, USA",43.081309,-89.395609,Da nije ljubavi nebi svjeta bilo| Vinca
119,"Brandon, WI, USA",43.736175,-88.781793,Daar kommt kleine Tomas aan
120,"Brandon, WI, USA",43.736175,-88.781793,Daar ruischt longs de wolken
121,"Mukwonago, WI, USA",42.862336,-88.323693,Daisy Dean
122,"Brandon, WI, USA",43.736175,-88.781793,"Daisy, Daisy"
123,"Monroe, WI, USA",42.597234,-89.645995,Dan Doo
124,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Dance song
125,"Dyckesville, WI, USA",44.637035,-87.767163,Dance tune
126,"Verona, WI, USA",42.988199,-89.536182,Danish waltz
127,"Somerset, WI, USA",45.130029,-92.676858,Dans son berceau
128,"Grantsburg, WI, USA",45.777786,-92.685056,DÃ¤r sjÃ¶ng en fagel pÃ¥ lindekvist
129,"Madison, WI, USA",43.081309,-89.395609,Dark Town strutters' ball
130,"Black River Falls, WI, USA",44.300723,-90.843263,Day at the county fair
131,"Belgium, WI, USA",43.500499,-87.845446,De Pier mat de gescheiten Oschsen
132,"Pickett, WI, USA",43.911389,-88.729722,Dechreu canu
133,"Brandon, WI, USA",43.736175,-88.781793,Deed Augustus volk vergaren
134,"Madison, WI, USA",43.081309,-89.395609,Deg irl altid klaga aa kyta
135,"Denmark, WI, USA",44.348556,-87.831168,Den svegne
136,"Milltown, WI, USA",45.526651,-92.499354,De vil altid klaga og kyta
137,"Madison, WI, USA",43.081309,-89.395609,Description of tamburica instruments
138,"Darlington, WI, USA",42.682928,-90.115182,Deutsch Meister
139,"Rice Lake, WI, USA",45.503769,-91.740829,Devil on the wine keg
140,"Madison, WI, USA",43.081309,-89.395609,Devonshire cream and cider
141,"Berlin, WI, USA",43.968582,-88.952344,Dick Turpin and Black Bess
142,"Millville, WI, USA",43.01865,-90.93917,"Did you call me ""vader""?"
143,"Monroe, WI, USA",42.597234,-89.645995,Did you ever see the Devil?
144,"Madison, WI, USA",43.081309,-89.395609,Dirandell
145,"Kewaunee, WI, USA",44.458374,-87.512667,Do vetru kvapik
146,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Dog feast dance
147,"Almond, WI, USA",44.261405,-89.408716,Dolan's ass
148,"Harvard, IL, USA",42.420737,-88.613519,Donkey
149,"Plainfield, WI, USA",44.213709,-89.494963,Dreary Black Hills
150,"Rhinelander, WI, USA",45.644155,-89.400934,Drops of brandy
151,"Sheboygan, WI, USA",43.756279,-87.723689,Du broliukai kunigai
152,"Pickett, WI, USA",43.911389,-88.729722,Duw mawr y rhyfeddoau maith
153,"Crandon, WI, USA",45.568712,-88.897293,Dying Christian
154,"Berlin, WI, USA",43.968582,-88.952344,Dying Wisconsin soldier
155,"Millville, WI, USA",43.01865,-90.93917,Dying Wisconsin soldier
156,"Pickett, WI, USA",43.911389,-88.729722,Dyma gariad fel y moroedd
157,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Eagle dance
158,"Cumberland, WI, USA",45.532863,-92.023279,Ecco il mio tesoro
159,"Barron, WI, USA",45.399492,-91.846754,Echo yodel
160,"Somerset, WI, USA",45.130029,-92.676858,Ã‰coutez ma chanson
161,"New Glarus, WI, USA",42.813394,-89.634998,Edelweiss
162,"Madison, WI, USA",43.081309,-89.395609,Edelweiss
163,"Milltown, WI, USA",45.526651,-92.499354,Eg veit ei liti jenta
164,"Madison, WI, USA",43.081309,-89.395609,Einmal Herzkrank ist
165,"Lancaster, WI, USA",42.846347,-90.707772,Ella Rae
166,"Rice Lake, WI, USA",45.503769,-91.740829,Emmenthalerlied
167,"Barron, WI, USA",45.399492,-91.846754,Emmithaler Lied
168,"Somerset, WI, USA",45.130029,-92.676858,En revenant de Fer-Emplet
169,"Waukesha, WI, USA",43.02433,-88.244537,En roulant ma boule
170,"Grantsburg, WI, USA",45.777786,-92.685056,En visa willjag junga
171,"Harvard, IL, USA",42.420737,-88.613519,Engineer
172,"Brandon, WI, USA",43.736175,-88.781793,Epitaph
173,"Kenosha, WI, USA",42.584327,-87.841871,Es regnet
174,"Blair, WI, USA",44.296263,-91.225443,Et aar
175,"Mukwonago, WI, USA",42.862336,-88.323693,Evelina
176,"Plainfield, WI, USA",44.213709,-89.494963,Everybody has a finger in the pie
177,"Mukwonago, WI, USA",42.862336,-88.323693,Faded coat of blue
178,"Waukesha, WI, USA",43.02433,-88.244537,Fait do-do penoche
179,"Pearson, WI, USA",45.364167,-89.016389,Farmer had a daughter
180,"Linden, WI, USA",42.918516,-90.274171,"Father, dear Father, come home with me now"
181,"Green Bay, WI, USA",44.517447,-87.954553,Fifini du Faubourg
182,"Somerset, WI, USA",45.130029,-92.676858,Fileuse
183,"Plainfield, WI, USA",44.213709,-89.494963,Finnegan's wake
184,"Rhinelander, WI, USA",45.644155,-89.400934,Fisher's hornpipe
185,"Rhinelander, WI, USA",45.644155,-89.400934,Fisher's hornpipe
186,"Plainfield, WI, USA",44.213709,-89.494963,"Fisherman, have you any sea crabs?"
187,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Flag song
188,"Bryant, WI, USA",45.208056,-89.023889,Flat river girl
189,"Black River Falls, WI, USA",44.300723,-90.843263,Flute song
190,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Flute song
191,"Black River Falls, WI, USA",44.300723,-90.843263,Forty-nine
192,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Four moccasin game songs
193,"Denmark, WI, USA",44.348556,-87.831168,Fra fjerne lande kom hun Dronning Dagmar
194,"Somerset, WI, USA",45.130029,-92.676858,Francois Marcotte
195,"Wausau, WI, USA",44.963482,-89.639884,Freiheit die ich nie me
196,"Rhinelander, WI, USA",45.644155,-89.400934,French four
197,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Friends' song
198,"Wisconsin Dells, WI, USA",43.628055,-89.771693,Friendship song
199,"Madison, WI, USA",43.081309,-89.395609,Froggie went to take ride
200,"Monroe, WI, USA",42.597234,-89.645995,Froggie would a wooing go
201,"New Glarus, WI, USA",42.813394,-89.634998,Fruhlingslied
202,"Kenosha, WI, USA",42.584327,-87.841871,Frysk folksliet
203,"Schofield, WI, USA",44.918498,-89.609749,Gambler's blues
204,"Crandon, WI, USA",45.568712,-88.897293,Gambling man
205,"Stevens Point, WI, USA",44.51956,-89.573683,Gamle mor
206,"Somerset, WI, USA",45.130029,-92.676858,GarÃ§on d'un boucher
207,"Rhinelander, WI, USA",45.644155,-89.400934,Gems of the ballroom
208,"Pickett, WI, USA",43.911389,-88.729722,Girl that was rejected
209,"Mukwonago, WI, USA",42.862336,-88.323693,Girl with the waterfall
210,"Madison, WI, USA",43.081309,-89.395609,"Glade Jul, dejlige Jul"
211,"Rhinelander, WI, USA",45.644155,-89.400934,Good for the tongue
212,"Dodgeville, WI, USA",42.964713,-90.130774,Grandma's advice
213,"Lancaster, WI, USA",42.846347,-90.707772,Grape vine twist
214,"Black River Falls, WI, USA",44.300723,-90.843263,Green corn song
215,"Madison, WI, USA",43.081309,-89.395609,Green mountain
216,"Madison, WI, USA",43.081309,-89.395609,Grudne boli
217,"Black River Falls, WI, USA",44.300723,-90.843263,Gypsy Davy
218,"Grantsburg, WI, USA",45.777786,-92.685056,Hall dig vid klippan
219,"Madison, WI, USA",43.081309,-89.395609,Halling
220,"Rice Lake, WI, USA",45.503769,-91.740829,Halling
221,"Mayville, WI, USA",43.498983,-88.548322,Hans und Liesel
223,"Rhinelander, WI, USA",45.644155,-89.400934,Heel and toe polka
224,"Grantsburg, WI, USA",45.777786,-92.685056,Hemlangtan
225,"Marion, WI, USA",44.673553,-88.889653,HÃªn brocer bach gloew fy nain
226,"Red Granite, Lohrville, WI, USA",44.036479,-89.113419,Hen fjon fy nain
227,"Milltown, WI, USA",45.526651,-92.499354,Her er det land
228,"Blair, WI, USA",44.296263,-91.225443,Her hjemme
229,"Rice Lake, WI, USA",45.503769,-91.740829,Herdgirl's Sunday
230,"Kenosha, WI, USA",42.584327,-87.841871,Het avondklokje
231,"Crandon, WI, USA",45.568712,-88.897293,Hicks Carmichael
232,"Rhinelander, WI, USA",45.644155,-89.400934,Highland fling
233,"Sheboygan, WI, USA",43.756279,-87.723689,Hod schon ans geschlagen
234,"New Glarus, WI, USA",42.813394,-89.634998,Holzhacker buab'm
235,"Madison, WI, USA",43.081309,-89.395609,Homestead Strike
236,"Green Bay, WI, USA",44.517447,-87.954553,Hommes
237,"Superior, WI, USA",46.705622,-92.101588,Honkain keskellÃ¤
238,"Madison, WI, USA",43.081309,-89.395609,"Hop, hop, hop, immer im galop"
239,"Black River Falls, WI, USA",44.300723,-90.843263,Hope song
240,"Rice Lake, WI, USA",45.503769,-91.740829,Hounds in the woods
241,"Beloit, WI, USA",42.510674,-89.033751,How happy is the sportsman
242,"Chippewa Falls, WI, USA",44.933577,-91.388875,How they sang the Marsellaise in Chippewa Falls (story)
243,"Milltown, WI, USA",45.526651,-92.499354,Hugen
244,"Lancaster, WI, USA",42.846347,-90.707772,Hunters' chorus
245,"Blair, WI, USA",44.296263,-91.225443,Husmanden's klagesang
246,"Mukwonago, WI, USA",42.862336,-88.323693,I heard old master pray last night
247,"Madison, WI, USA",43.081309,-89.395609,I never will marry
248,"Antigo, WI, USA",45.142765,-89.156261,I once had two handfuls of gold
249,"Antigo, WI, USA",45.142765,-89.156261,I once knew a little girl
250,"Grantsburg, WI, USA",45.777786,-92.685056,I sommar kvabl
251,"Antigo, WI, USA",45.142765,-89.156261,I stood upon the sand bank
252,"Grantsburg, WI, USA",45.777786,-92.685056,I villande skogen
253,"Plainfield, WI, USA",44.213709,-89.494963,I went down to New Orleans
254,"Brussels, WI, USA",44.719135,-87.580459,I went to market
255,"Antigo, WI, USA",45.142765,-89.156261,"I'll sell my hat, I'll sell my coat"
256,"Harvard, IL, USA",42.420737,-88.613519,I'm in love with a typical Tipperary Miss
257,"Marion, WI, USA",44.673553,-88.889653,I've been spending six long months in Fond du Lac Jail
258,"Madison, WI, USA",43.081309,-89.395609,I've got a motto
259,"Milltown, WI, USA",45.526651,-92.499354,Ifjor gjett eg gjeiten
260,"Rhinelander, WI, USA",45.644155,-89.400934,In a far off golden west
261,"Mayville, WI, USA",43.498983,-88.548322,In des Gartens dunkles Laube
262,"Madison, WI, USA",43.081309,-89.395609,In lonely moments
263,"Madison, WI, USA",43.081309,-89.395609,Ina Skillen
264,"Berlin, WI, USA",43.968582,-88.952344,Interview
265,"Brussels, WI, USA",44.719135,-87.580459,Invitation to the Kermess
266,"Almond, WI, USA",44.261405,-89.408716,Irish jubilee
267,"Rhinelander, WI, USA",45.644155,-89.400934,Irish jubilee
268,"Prairie du Chien, WI, USA",43.042549,-91.141425,Irish Molly-O
269,"Madison, WI, USA",43.081309,-89.395609,Dance calls
270,"Lancaster, WI, USA",42.846347,-90.707772,Irish washerwoman
271,"Somerset, WI, USA",45.130029,-92.676858,J'ai fait une maitresse
272,"Somerset, WI, USA",45.130029,-92.676858,J'etai garÃ§on Ã  marier
273,"Milwaukee, WI, USA",43.063146,-87.948334,Juz ty nie zapomniales Jasiulenku moj
274,"Milwaukee, WI, USA",43.063146,-87.948334,JabÅ‚oneczka
275,"Grantsburg, WI, USA",45.777786,-92.685056,Jag har en vÃ¤n
276,"Bryant, WI, USA",45.208056,-89.023889,Jam on Gerry's rock
277,"Hayward, WI, USA",46.008889,-91.482601,Jam on Gerry's rock
278,"Rhinelander, WI, USA",45.644155,-89.400934,Jam on Gerry's rock
279,"Wautoma, WI, USA",44.070467,-89.28797,Jam on Gerry's rock
280,"Grantsburg, WI, USA",45.777786,-92.685056,Ã… jÃ¤nta Ã¥ ja
281,"Somerset, WI, USA",45.130029,-92.676858,Jardiniere
282,"Oneida, WI, USA",44.475504,-88.243735,"Jatgato, tune 1"
283,"Oneida, WI, USA",44.475504,-88.243735,"Jatgato, tune 2"
284,"Oneida, WI, USA",44.475504,-88.243735,"Jatgato, tune 3"
285,"Oneida, WI, USA",44.475504,-88.243735,"Jatgato, tune 4"
286,"Somerset, WI, USA",45.130029,-92.676858,Je ne vent pas d'un avocat
287,"Madison, WI, USA",43.081309,-89.395609,Jeftanovicero| Officirakocevo| Srbkinja
288,"Rhinelander, WI, USA",45.644155,-89.400934,Jig
289,"Millville, WI, USA",43.01865,-90.93917,Jim Blake
290,"Madison, WI, USA",43.081309,-89.395609,Jim Bludsoe
291,"Lancaster, WI, USA",42.846347,-90.707772,Jordan River I'm bound to cross
292,"Superior, WI, USA",46.705622,-92.101588,Jos voisin laulaa kuin lintu voi
293,"Grantsburg, WI, USA",45.777786,-92.685056,Julen ai inne
294,"Schofield, WI, USA",44.918498,-89.609749,Just plain folks
295,"Brandon, WI, USA",43.736175,-88.781793,K'zal van mijn verlosser zingen
296,"Milwaukee, WI, USA",43.063146,-87.948334,Kaczor
297,"Milwaukee, WI, USA",43.063146,-87.948334,Kajtozas
298,"Rice Lake, WI, USA",45.503769,-91.740829,Kan du glemme gamle Norge
299,"Madison, WI, USA",43.081309,-89.395609,Kan du glemme gamle Norge?
300,"Blair, WI, USA",44.296263,-91.225443,Kan du glemme himmel arven
301,"Stevens Point, WI, USA",44.51956,-89.573683,Kasshubian dialect
302,"Blair, WI, USA",44.296263,-91.225443,Kattyglo visa
303,"Prairie du Chien, WI, USA",43.042549,-91.141425,Kdyr jsem Å¡el ÄestiÄkou
304,"Hancock, WI, USA",44.13365,-89.521554,Keeping the working man down
306,"Belgium, WI, USA",43.500499,-87.845446,Ker Jidder f'ru singer Dir
307,"Superior, WI, USA",46.705622,-92.101588,KesÃ¤-Ilta
308,"Superior, WI, USA",46.705622,-92.101588,KesÃ¤ilta
309,"Plainfield, WI, USA",44.213709,-89.494963,Keyhole in the door
311,"Hancock, WI, USA",44.13365,-89.521554,Kitty Grauss
312,"Madison, WI, USA",43.081309,-89.395609,Kitty Morey
315,"Harvard, IL, USA",42.420737,-88.613519,Kitty Wells
316,"Blair, WI, USA",44.296263,-91.225443,Kjoelstad visen
317,"Brandon, WI, USA",43.736175,-88.781793,Klewien van der erlaweh vlag
